Algorithm,PSNR_dB_mean,PSNR_dB_std,PSNR_dB_count,MSE_mean,MSE_std,MSE_count,SSIM_mean,SSIM_std,SSIM_count,BPP_mean,BPP_std,BPP_count
4-LSB,36.04948120249,3.0156199427116204,25,20.269173075358072,13.903926244264364,25,0.9258018286108042,0.05729817033172766,25,4.882946014404297,3.348832035600082,25
LSB,53.0510146015975,1.0762317666989691,10,0.331033198038737,0.08055509944431888,10,0.997936863836923,0.0009554890508199113,10,1.9837760925292969,0.48252527773565357,10
ML-LSB,38.17867041826101,14.601925407546888,35,680.6595486958822,1613.3667265748318,35,0.7989096040379845,0.3090276998839385,35,8.501458849225726,6.774442566013199,35
